epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5269,2.15056,4.49961,8.8281,0.0083,4.93574,0.00276,0.1086,0.01149,0.00537,0.0023,0.0905,0.0119,0.00402,2.15613,3.31222,9.71258,0.00499,0,0.000654762,0.000654762,0.000654762
2,114.093,2.17098,4.48242,7.70423,0.00727,3.84937,0.00516,0.09955,0.02431,0.00707,0.00483,0.10407,0.02629,0.01055,2.26542,3.30112,10.1835,0.00652,0,0.00127782,0.00127782,0.00127782
3,159.281,2.22109,3.95867,7.57085,0.00732,3.25294,0.25095,0.08145,0.05694,0.02925,0.23874,0.07692,0.05549,0.02597,2.29148,3.24378,8.85265,0.00583,0,0.00185688,0.00185688,0.00185688
4,203.991,2.27011,3.85513,7.4951,0.00753,2.63183,0.32457,0.05882,0.04049,0.0159,0.32329,0.04977,0.03011,0.01456,2.21098,3.31235,7.99306,0.00534,0,0.001802,0.001802,0.001802
5,243.922,2.07418,3.66525,7.03869,0.00629,2.50677,0.30853,0.0181,0.01452,0.00889,0.30853,0.0181,0.01444,0.00667,2.30074,3.30342,7.69242,0.00566,0,0.001736,0.001736,0.001736
6,293.489,2.16936,3.44198,6.63333,0.0073,2.24828,0.48258,0.04525,0.04564,0.0259,0.48258,0.04525,0.04541,0.02397,2.23457,3.15297,7.15014,0.00479,0,0.00167,0.00167,0.00167
7,388.791,2.18597,3.35867,6.42982,0.00708,2.06275,0.3825,0.05882,0.05068,0.02421,0.43645,0.06787,0.05858,0.02468,2.38252,3.25159,6.85445,0.00577,0,0.001604,0.001604,0.001604
8,449.878,2.32063,3.63373,6.02156,0.00686,1.88347,0.44616,0.06335,0.05025,0.0272,0.44325,0.06335,0.05173,0.02383,2.41507,3.21993,6.33506,0.00581,0,0.001538,0.001538,0.001538
9,491.271,2.27402,3.43787,5.25993,0.00704,1.79411,0.34636,0.06335,0.05369,0.02041,0.34636,0.06335,0.04934,0.02009,2.30347,3.27069,6.13069,0.00551,0,0.001472,0.001472,0.001472
10,532.881,2.31114,3.42034,5.35788,0.00711,1.84553,0.33761,0.05882,0.03783,0.01857,0.29617,0.06335,0.04336,0.01602,2.23164,3.18813,5.96593,0.00509,0,0.001406,0.001406,0.001406
11,574.437,2.3595,3.33339,5.07931,0.00833,1.53098,0.26724,0.06335,0.04996,0.02644,0.26724,0.06335,0.05427,0.02227,2.24288,3.0399,6.05561,0.00507,0,0.00134,0.00134,0.00134
12,640.806,2.3569,3.32919,5.12444,0.00676,1.6388,0.28143,0.06335,0.06009,0.02957,0.23284,0.06787,0.06357,0.03017,2.23408,3.02541,5.87132,0.00497,0,0.001274,0.001274,0.001274
13,737.064,2.34826,3.55083,5.03378,0.007,1.55773,0.33845,0.05882,0.05917,0.03277,0.28292,0.06335,0.06127,0.03025,2.26214,2.98856,5.80276,0.00481,0,0.001208,0.001208,0.001208
14,831.96,2.34433,3.35013,4.72932,0.00635,1.55638,0.2076,0.0724,0.05542,0.03197,0.18605,0.06787,0.05362,0.02662,2.35788,2.83812,5.77998,0.00496,0,0.001142,0.001142,0.001142
15,920.99,2.46536,3.5215,4.6745,0.00709,1.4794,0.36184,0.06335,0.05656,0.02972,0.41942,0.0724,0.06684,0.02864,2.34838,2.94013,5.39595,0.00485,0,0.001076,0.001076,0.001076
16,963.541,2.39438,3.4918,4.39622,0.00642,1.23738,0.35526,0.0724,0.06133,0.0296,0.47358,0.0724,0.07431,0.03037,2.38885,2.91582,5.22673,0.00503,0,0.00101,0.00101,0.00101
17,1057.32,2.29169,3.17377,4.37831,0.00691,1.39531,0.37827,0.06787,0.05311,0.02708,0.35383,0.06787,0.06364,0.02579,2.39214,2.90524,5.2738,0.00509,0,0.000944,0.000944,0.000944
18,1151.3,2.27082,3.15468,4.52306,0.00747,1.26511,0.35675,0.0724,0.06629,0.0342,0.35675,0.0724,0.06527,0.03209,2.35715,2.88883,5.04367,0.00504,0,0.000878,0.000878,0.000878
19,1211.61,2.37038,3.33239,4.36145,0.00813,1.28247,0.3278,0.06335,0.06533,0.03404,0.3776,0.0724,0.07684,0.03181,2.37921,2.91107,4.90821,0.00511,0,0.000812,0.000812,0.000812
20,1270.39,2.21099,3.15558,4.19736,0.00617,1.02699,0.32644,0.0724,0.05733,0.03046,0.34057,0.07692,0.07204,0.03111,2.42628,2.93763,4.93611,0.00529,0,0.000746,0.000746,0.000746
21,1324.02,1.9342,2.66743,4.74951,0.00637,0.86817,0.22739,0.06335,0.05365,0.02662,0.32844,0.06787,0.0622,0.02757,2.44485,2.92678,4.89029,0.00534,0,0.00068,0.00068,0.00068
22,1372.35,1.95683,2.60793,4.60977,0.00785,0.92967,0.33937,0.0724,0.06018,0.02859,0.33008,0.07692,0.0684,0.03106,2.5093,3.02953,4.63598,0.00547,0,0.000614,0.000614,0.000614
23,1435.39,1.89144,2.54812,4.51658,0.00603,1.00184,0.34853,0.04977,0.05513,0.02721,0.4119,0.05882,0.06924,0.02945,2.50417,3.00815,4.48131,0.00537,0,0.000548,0.000548,0.000548
24,1520.41,1.80024,2.49485,4.47385,0.00614,0.84058,0.47758,0.04525,0.05445,0.02887,0.46841,0.04525,0.05936,0.02841,2.50167,3.08604,4.44751,0.00534,0,0.000482,0.000482,0.000482
25,1579.32,1.78403,2.25023,4.39161,0.00616,0.78874,0.44806,0.04977,0.05617,0.03025,0.49854,0.05882,0.06641,0.0318,2.50605,3.03253,4.36706,0.00519,0,0.000416,0.000416,0.000416
26,1638.88,1.94512,2.62892,4.34041,0.00693,0.72393,0.56997,0.04977,0.05965,0.03458,0.62179,0.0543,0.0663,0.03335,2.47599,3.05548,4.27646,0.00504,0,0.00035,0.00035,0.00035
27,1707.84,1.96867,2.66737,4.36468,0.00615,0.81821,0.6642,0.06335,0.07,0.03791,0.71165,0.06787,0.07509,0.03487,2.48778,2.99846,4.19285,0.00508,0,0.000284,0.000284,0.000284
28,1773.75,1.79243,2.57853,4.27665,0.0065,0.77355,0.51942,0.05882,0.06425,0.03595,0.55937,0.06335,0.07042,0.03187,2.4821,2.95041,4.18609,0.00525,0,0.000218,0.000218,0.000218
29,1840.04,1.88684,2.51868,4.24597,0.00616,0.78597,0.4729,0.05882,0.06271,0.03272,0.50927,0.06335,0.06895,0.03213,2.48469,2.98594,4.18486,0.00526,0,0.000152,0.000152,0.000152
30,1893.27,1.9808,2.7705,4.23478,0.00679,0.78747,0.43426,0.06335,0.065,0.03505,0.43426,0.06335,0.06977,0.03437,2.47234,2.89226,4.168,0.00521,0,8.6e-05,8.6e-05,8.6e-05
